# From Jiang et al 2015 RNA sequencing from human neutrophils reveals distinct transcriptional differences associated with chronic inflammatory states,,,,,,,,,,,,
# Supplemental Table 1. Genes identified as expressed in neutrophils  in all 9 subjects,,,,,,,,,,,,
Gene ID,FPKM,,,,,,,,,,,
CD53,410.094,623.038,628.656,647.635,726.727,723.962,659.365,614.679,726.028,5760.18,,
ARPC3,599.926,616.626,690.834,632.391,632.872,616.022,752.739,538.249,658.5,5738.16,,
ATP5E,792.275,569.214,588.294,590.489,522.058,657.414,693.691,563.678,687.516,5664.63,,
ABTB1,570.942,668.998,573.556,491.863,490.157,555.602,786.282,789.639,633.671,5560.71,,
HCK,499.968,541.808,605.939,556.223,628.897,635.971,481.407,563.22,862.47,5375.90,,
TSC22D3,513.699,880.576,464.332,593.364,610.202,459.3,884.717,693.959,251.353,5351.50,,
LYN,317.098,550.301,630.871,661.053,712.219,681.776,544.406,545.441,707.094,5350.26,,
ITGAX,681.817,604.756,494.195,598.347,668.894,589.29,616.204,531.453,565.155,5350.11,,
GNAI2,569.621,512.284,588.304,570.96,494.731,562.706,685.24,654.466,647.66,5285.97,,
SMAP2,487.879,644.569,507.086,600.083,421.731,627.332,972.002,616.831,400.805,5278.32,,
CD97,642.522,623.796,462.466,665.843,654.809,555.344,499.394,692.008,455.288,5251.47,,
SEPX1,404.726,501.306,694.826,514.603,618.638,649.654,548.971,603.804,670.055,5206.58,,
CAP1,651.345,411.466,632.439,538.815,557.835,502.857,649.75,538.306,700.121,5182.93,,
CLIC1,442.52,503.369,575.363,521.031,608.528,648.493,579.644,556.323,712.282,5147.55,,
C19orf22,411.865,552.029,594.352,506.867,543.005,675.155,577.146,600.02,667.83,5128.27,,
ALPL,182.572,350.437,754.627,350.515,669.814,646.424,412.202,602.123,1136.32,5105.03,,
ZYX,427.722,428.649,664.966,527.487,622.272,724.957,381.093,349.574,936.31,5063.03,,
RNASET2,790.615,564.902,528.983,492.044,651.224,560.545,593.934,389.685,475.213,5047.15,,
SERPINA1,294.59,621.558,720.736,585.012,587.502,602.995,496.929,520.44,615.727,5045.49,,
UBC,445.182,579.096,483.675,617.818,482.706,481.447,807.267,650.7,456.894,5004.79,,
CSF2RB,419.939,513.246,545.344,566.234,716.27,559.095,435.17,556.664,609.914,4921.88,,
AIF1,332.445,802.891,549.744,467.677,652.343,605.35,503.392,584.468,420.546,4918.86,,
GCA,316.336,494.825,684.242,448.537,625.377,595.938,501.221,394.714,847.301,4908.49,,
ACTG1,742.283,450.474,540.9,551.484,441.37,524.664,518.91,610.066,498.751,4878.90,,
DAZAP2,457.065,592.468,540.806,504.61,455.095,516.899,653.271,524.871,593.233,4838.32,,
SLC25A37,380.505,591.375,501.383,460.218,589.686,685.746,438.967,426.739,757.156,4831.78,,
VASP,485.241,405.853,600.992,481.451,568.808,595.884,543.795,548.465,565.027,4795.52,,
GPSM3,471.761,528.562,544.78,450.497,519.806,541.074,518.098,593.992,585.121,4753.69,,
NCOA4,516.326,585.811,545.739,580.468,380.994,420.493,702.147,812.946,176.751,4721.68,,
TKT,472.471,465.863,546.639,510.638,368.223,475.727,769.993,592.198,498.013,4699.77,,
ALDOA,458.715,479.164,504.503,419.564,410.741,476.658,642.2,609.326,687.472,4688.34,,
HCLS1,463.02,522.439,486.521,470.058,439.923,442.043,615.554,599.733,596.92,4636.21,,
RPS29,1204.26,768.22,266.766,494.792,365.868,477.497,377.27,531.568,146.74,4632.98,,
ADAM8,850.247,421.285,440.133,519.976,404.322,456.146,459.187,580.005,488.296,4619.60,,
MSN,416.339,469.205,490.495,546.291,461.138,459.177,614.772,607.428,527.221,4592.07,,
GLUL,298.876,560.356,564.309,637.344,383.025,542.537,620.326,529.559,431.661,4567.99,,
LOC100652800,461.506,607.177,447.746,513.211,340.143,478.332,737.243,574.918,390.801,4551.08,,
FGR,418.433,421.77,504.998,616.049,387.51,487.916,531.168,670.997,408.238,4447.08,,
MBOAT7,441.502,511.868,482.891,464.788,466.404,491.24,480.208,558.158,547.317,4444.38,,
EFHD2,479.721,471.411,496.75,392.036,558.873,582.359,458.837,501.021,490.538,4431.55,,
TMSB10,840.652,425.433,350.441,602.45,609.533,645.217,282.795,463.382,195.212,4415.12,,
ZFP36,322.89,358.706,564.544,512.16,658.34,570.552,390.811,533.305,479.118,4390.43,,
ATG16L2,689.998,544.51,453.913,452.799,396.851,474.604,442.49,541.472,386.082,4382.72,,
XPO6,313.688,444.981,528.418,493.086,495.957,527.558,562.774,403.854,610.888,4381.20,,
RN7SL2,287.988,210.482,519.716,351.688,498.46,538.107,752.631,385.672,813.177,4357.92,,
MXD1,321.069,575.25,521.342,496.172,621.871,484.655,489.324,436.581,411.146,4357.41,,
BCL2A1,178.97,351.088,477.982,380.576,304.398,597.209,568.81,437.411,1060.43,4356.87,,
CDC42SE1,534.654,508.093,474.869,513.974,447.92,454.128,451.302,492.643,397.625,4275.21,,
FFAR2,336.342,384.449,483.236,487.079,670.298,634.592,240.272,351.152,637.459,4224.88,,
RNF149,261.903,526.521,531.827,441.296,494.143,501.666,482.047,361.838,558.666,4159.91,,
ALOX5,391.715,398.889,449.054,393.359,387.786,463.661,478.406,486.44,707.408,4156.72,,
BCL6,299.341,387.57,542.233,410.987,581.874,485.442,335.808,480.381,621.923,4145.56,,
VMP1,260.54,451.812,546.985,447.43,391.805,504.098,582.407,539.013,352.345,4076.44,,
